accession	species	ST	Bla_acquired	Bla_ESBL_acquired	Bla_Carb_acquired	AGly_acquired	Flq_acquired	Tet_acquired	Sul_acquired	virulence_score	resistance_score
ERR3449287	Klebsiella pneumoniae	ST297-3LV	-	-	-	-	-	-	-	0	0
ERR3449305	Klebsiella pneumoniae	ST3655	-	-	-	-	-	-	-	0	0
ERR3449306	Klebsiella quasipneumoniae subsp. similipneumoniae	ST138	-	-	-	-	-	-	-	0	0
ERR3449307	Klebsiella pneumoniae	ST534	-	-	-	-	-	-	-	0	0
ERR3449338	Klebsiella pneumoniae	ST502	-	-	-	-	-	-	-	0	0
ERR3449346	Klebsiella pneumoniae	ST3345	-	-	-	-	-	-	-	0	0
ERR3449350	Klebsiella pneumoniae	ST857	-	-	-	-	-	-	-	0	0
ERR3449355	Klebsiella pneumoniae	ST1017	-	-	-	-	-	-	-	0	0
ERR3449379	Klebsiella pneumoniae	ST661	-	-	-	-	-	-	-	0	0
ERR3449380	Klebsiella pneumoniae	ST221	-	-	-	-	-	-	-	0	0
ERR3449392	Klebsiella pneumoniae	ST1017	-	-	-	-	-	-	-	0	0
ERR3449440	Klebsiella pneumoniae	ST985	-	-	-	-	-	-	-	0	0
ERR3449447	Klebsiella pneumoniae	ST3655	-	-	-	-	-	-	-	0	0
ERR3449448	Klebsiella pneumoniae	ST3385	-	-	-	-	-	-	-	0	0
ERR3449454	Klebsiella pneumoniae	ST1307	-	-	-	-	-	-	-	1	0
ERR3449470	Klebsiella pneumoniae	ST340	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IId^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	tet(D)	sul2	0	1
ERR3449509	Klebsiella pneumoniae	ST1364-1LV	-	-	-	-	-	-	-	0	0
ERR3449530	Klebsiella pneumoniae	ST521-2LV	-	-	-	-	-	-	-	0	0
ERR3449532	Klebsiella pneumoniae	ST252	-	-	-	-	-	-	-	0	0
ERR3449541	Klebsiella pneumoniae	ST4387	-	-	-	-	-	-	-	1	0
ERR3449543	Klebsiella pneumoniae	ST321	-	-	-	-	qnrS1	-	-	0	0
ERR3449551	Klebsiella pneumoniae	ST234	-	-	VIM-1	aac(6')-Ib4^;aadA1.v1^;aphA15	qnrS1	-	-	0	2
ERR3449559	Klebsiella pneumoniae	ST35	-	-	-	-	-	-	-	0	0
ERR3449560	Klebsiella quasipneumoniae subsp. quasipneumoniae	ST144-2LV	-	-	-	-	-	-	-	0	0
ERR3453498	Klebsiella pneumoniae	ST307	OXA-1	CTX-M-15	KPC-3	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	-	sul2	1	2
ERR3469781	Klebsiella pneumoniae	ST1754	-	-	-	strA.v1^;strB.v1	qnrS1	tet(A).v1;tet(B).v2*	sul2	0	0
ERR3469791	Klebsiella pneumoniae	ST727	-	-	-	-	-	-	-	0	0
ERR3469796	Klebsiella pneumoniae	ST46	-	-	-	-	-	-	-	0	0
ERR3469811	Klebsiella pneumoniae	ST2459	-	-	-	-	-	-	-	0	0
ERR3469826	Klebsiella pneumoniae	ST176	-	-	-	-	-	-	-	0	0
ERR3469862	Klebsiella pneumoniae	ST170-3LV	-	-	-	-	-	-	-	0	0
ERR3469867	Klebsiella pneumoniae	ST2418	-	-	VIM-1	aac(6')-Ib4^;aadA1.v1^;aphA15	qnrA1^	-	sul1	0	2
ERR3469868	Klebsiella pneumoniae	ST2418	-	-	VIM-1	aac(6')-Ib4^;aadA1.v1^;aphA15	qnrA1^	-	sul1	0	2
ERR3469881	Klebsiella pneumoniae	ST353	-	-	-	-	-	-	-	1	0
ERR3479908	Klebsiella pneumoniae	ST36	-	-	-	-	-	-	-	0	0
ERR3479915	Klebsiella pneumoniae	ST54	-	-	-	-	-	-	-	0	0
ERR3479951	Klebsiella pneumoniae	ST307-1LV	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	1
ERR3479952	Klebsiella pneumoniae	ST307-1LV	OXA-1	CTX-M-15	KPC-2	aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	-	sul2	1	2
ERR3480018	Klebsiella variicola subsp. variicola	ST347	-	-	-	-	-	-	-	0	0
ERR3480034	Klebsiella pneumoniae	ST4253	-	-	-	-	-	-	-	1	0
ERR3480035	Klebsiella pneumoniae	ST36-1LV	-	-	-	-	-	-	-	1	0
ERR3480037	Klebsiella pneumoniae	ST198	-	-	-	-	-	-	-	1	0
ERR3480052	Klebsiella pneumoniae	ST200	-	-	-	-	-	-	-	0	0
ERR3480074	Klebsiella pneumoniae	ST3345	-	-	-	-	-	-	-	0	0
ERR3480080	Klebsiella pneumoniae	ST187-1LV	-	-	-	-	-	-	-	0	0
ERR3480111	Klebsiella pneumoniae	ST3767	-	-	-	-	-	-	-	0	0
ERR3480112	Klebsiella pneumoniae	ST1623	-	-	-	aadA4.v1*	-	-	sul1	1	0
ERR3480114	Klebsiella pneumoniae	ST392	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	-	sul2	0	1
ERR3480115	Klebsiella pneumoniae	ST219	TEM-1D.v1^	CTX-M-15	KPC-2	aph3-Ia.v1^;strA.v1*;strB.v1*	qnrS1	-	sul2	0	2
ERR3480117	Klebsiella pneumoniae	ST3663	-	-	-	-	-	-	-	3	0
ERR3480119	Klebsiella variicola subsp. variicola	ST3928-1LV	-	-	-	-	-	-	-	0	0
ERR3480134	Klebsiella pneumoniae	ST3248	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	1
ERR3480183	Klebsiella pneumoniae	ST461	-	-	-	-	-	-	-	0	0
ERR3480209	Klebsiella pneumoniae	ST20	-	-	-	-	-	-	-	1	0
ERR3480240	Klebsiella pneumoniae	ST3068	-	-	-	-	-	-	-	0	0
ERR3480265	Klebsiella variicola subsp. variicola	ST1928	-	-	-	-	-	-	-	0	0
ERR3480278	Klebsiella pneumoniae	ST392	OXA-1	-	-	aac(6')-Ib-cr.v2	qnrB1.v2^	-	-	0	0
ERR3480283	Klebsiella pneumoniae	ST512	-	-	-	aac(6')-Ib'.v1;aadA2	-	-	sul1	1	0
ERR3480293	Klebsiella variicola subsp. variicola	ST1980	-	-	-	-	-	-	-	0	0
ERR3480297	Klebsiella pneumoniae	ST299	-	-	-	-	-	-	-	0	0
ERR3480305	Klebsiella pneumoniae	ST485	-	-	-	-	-	-	-	0	0
ERR3480357	Klebsiella pneumoniae	ST307	OXA-1	CTX-M-15	KPC-2	aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	-	sul2	1	2
ERR3480363	Klebsiella variicola subsp. variicola	ST360	-	-	-	-	-	-	-	0	0
ERR3480383	Klebsiella pneumoniae	ST461	-	-	-	strA.v1;strB.v1	-	-	-	0	0
ERR3480391	Klebsiella pneumoniae	ST1428	-	-	-	-	qnrS1	-	-	0	0
ERR3480420	Klebsiella pneumoniae	ST35	-	-	-	-	-	-	-	0	0
ERR3480447	Klebsiella pneumoniae	ST469-1LV	-	-	-	-	-	-	-	0	0
ERR3480506	Klebsiella pneumoniae	ST2703	-	-	-	-	-	-	-	0	0
ERR3480515	Klebsiella pneumoniae	ST2703	-	-	-	-	-	-	-	0	0
ERR3480534	Klebsiella pneumoniae	ST2703	-	-	-	-	-	-	-	0	0
ERR3480543	Klebsiella pneumoniae	ST76-1LV	-	-	-	-	-	-	-	1	0
ERR3480545	Klebsiella pneumoniae	ST230	-	-	-	-	-	-	-	0	0
ERR3480564	Klebsiella quasipneumoniae subsp. quasipneumoniae	ST1647-1LV	OXA-1	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2	qnrS1	-	sul1;sul2	0	1
ERR3480580	Klebsiella variicola subsp. variicola	ST208-3LV	-	-	-	-	-	-	-	0	0
ERR3480591	Klebsiella pneumoniae	ST219	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1^	qnrB1.v2^;qnrS1	tet(A).v1	sul1;sul2	0	1
ERR3480593	Klebsiella pneumoniae	ST392	-	CTX-M-15	-	-	-	-	-	0	1
ERR3480596	Klebsiella pneumoniae	ST240	-	-	-	-	-	-	-	0	0
ERR3480621	Klebsiella pneumoniae	ST106-1LV	-	-	-	-	-	-	-	0	0
ERR3480633	Klebsiella pneumoniae	ST3068	-	-	-	-	-	-	-	0	0
ERR3480651	Klebsiella pneumoniae	ST1311	-	-	-	-	-	-	-	0	0
ERR3480669	Klebsiella pneumoniae	ST1311	-	-	-	-	-	-	-	0	0
ERR349784	Klebsiella pneumoniae	ST1	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^;aadA^;aph3-Ia.v1^	-	tet(A).v1	sul1	0	1
ERR349796	Klebsiella pneumoniae	ST3395-2LV	AmpC1;OXA-1;OXA-9.v1;TEM-1D.v1^	CTX-M-15	NDM-1	aadA*;aadA2^;armA^;strA.v1^;strB.v1	-	tet(A).v1	sul1;sul2	4	3
ERR349809	Klebsiella pneumoniae	ST15-4LV	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1^;strA.v1^;strB.v1	qnrB1.v1	tet(A).v1?	sul1;sul2	1	1
ERR349817	Klebsiella pneumoniae	ST3395	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	-	sul2	1	1
ERR3499844	Klebsiella variicola subsp. variicola	ST1163	OXA-9.v1;SCO-1;TEM-1D.v1^	PER-2;SHV-2	-	aac(3)-IIa.v1;aac(6')-Ib'.v1;aadA*;aph(3')-Ia;sat-2	-	tet(D)	-	0	1
ERR3499848	Klebsiella pneumoniae	ST443	OXA-9.v1;TEM-1D.v1^;TEM-1D.v1^	-	-	aac(3)-IIa.v1;aac(6')-Ib'.v1	-	tet(B).v2*	sul1	0	0
ERR3499857	Klebsiella pneumoniae	ST1073-2LV	OXA-2;TEM-1D.v1^	CTX-M-2	-	aac(3)-IIa.v1	-	-	sul1;sul1	0	1
ERR3499875	Klebsiella pneumoniae	ST502	-	PER-2	-	aac(6')-Iq;aadA;strA.v1;strB.v1	-	-	-	0	1
ERR3499888	Klebsiella quasipneumoniae subsp. quasipneumoniae	ST935-2LV	SCO-1;TEM-1D.v1^	SHV-5	-	aac(3)-IIa.v1;aac(6')-Iq;aadA	-	tet(B).v2*	sul1	0	1
ERR3499889	Klebsiella pneumoniae	ST1393	OXA-2;TEM-1D.v1^	CTX-M-2	-	aac(3)-IIa.v1	-	-	sul1;sul1	0	1
ERR3499891	Klebsiella pneumoniae	ST42	OXA-2	CTX-M-2	-	aac(3)-IIa.v1	-	-	sul1;sul1	0	1
ERR3499893	Klebsiella pneumoniae	ST76	OXA-2	CTX-M-2	-	aac(3)-IIa.v1	-	-	sul1;sul1	0	1
ERR3499895	Klebsiella pneumoniae	ST42	OXA-2	CTX-M-2	-	aac(3)-IIa.v1	-	-	sul1;sul1	0	1
ERR3499909	Klebsiella pneumoniae	ST485	OXA-2;TEM-1D.v1^	CTX-M-2	-	aac(3)-IIa.v1	-	-	sul1;sul1	0	1
ERR3499917	Klebsiella pneumoniae	ST3069	SCO-1;TEM-1D.v1^	PER-2	-	aac(3)-IIa.v1;aac(6')-Iq;aadA	-	tet(B).v2*	sul1	0	1
ERR3499935	Klebsiella pneumoniae	ST3660	OXA-2;TEM-1D.v1^	CTX-M-131.v2	-	aac(3)-IIa.v1	-	-	sul1;sul1	0	1
ERR3518885	Klebsiella pneumoniae	ST11	TEM-1D.v1^	-	KPC-2	aac(3)-IIa.v1	-	-	sul1	2	2
ERR3535471	Klebsiella pneumoniae	ST922	-	-	OXA-48	-	-	-	-	0	2
ERR3562232	Klebsiella pneumoniae	ST873	LAP-2	CTX-M-14	-	aac(3)-IId^;strA.v1*;strB.v1*	qnrS1	tet(D)	sul2	0	1
ERR3562281	Klebsiella pneumoniae	ST4283	TEM-1D.v1^	CTX-M-15	-	strA.v1^;strB.v1	qnrB1.v2^	-	sul2	0	1
ERR3562292	Klebsiella pneumoniae	ST2176	LAP-2	-	-	aac(3)-IId^;strA.v1;strB.v1	qnrS1	tet(D)	sul2	0	0
ERR3562296	Klebsiella pneumoniae	ST3161	-	SHV-2	-	aadA22^;aph(3')-Ia	-	tet(A).v1;tet(D)	-	0	1
ERR3564478	Klebsiella pneumoniae	ST3049	-	-	-	-	-	-	-	0	0
ERR3567198	Klebsiella pneumoniae	ST656	TEM-1D.v1^	CTX-M-15	KPC-2;NDM-1	aac(3)-IId^;aac(6')-Ib-cr.v2;aadA*;aadA16*;strA.v1^;strB.v1	qnrB6^;qnrS1	tet(D)	sul1;sul1;sul2	1	2
ERR3567269	Klebsiella pneumoniae	ST199	OXA-1;TEM-1D.v1^	CTX-M-15	NDM-1	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2	qnrB1.v2^	tet(A).v1	sul2	0	2
ERR3567343	Klebsiella pneumoniae	ST11	-	-	KPC-2	aac(6')-Ib-cr.v2^;aadA16*;aadA2^	qnrB4;qnrB6^	-	sul1	1	2
ERR3567356	Klebsiella pneumoniae	ST656	-	-	KPC-2	aac(6')-Ib-cr.v2;aadA16*	qnrB6^	tet(D)	sul1;sul1	1	2
ERR3567468	Klebsiella pneumoniae	ST17	DHA-1	CTX-M-14	-	-	qnrB4	-	sul1	0	1
ERR3567511	Klebsiella pneumoniae	ST656	-	-	KPC-2	aac(6')-Ib-cr.v2;aadA16*	qnrB6^	tet(D)	sul1;sul1	1	2
ERR3567550	Klebsiella quasipneumoniae subsp. quasipneumoniae	ST1040	LAP-2	CTX-M-27	-	-	qnrS1	-	-	0	1
ERR3567885	Klebsiella pneumoniae	ST656	-	-	KPC-2	aac(6')-Ib-cr.v2;aadA16*	qnrB6^	tet(D)	sul1;sul1	1	2
ERR3575024	Klebsiella pneumoniae	ST16	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(6')-Ib-cr.v2;aadA2^	-	tet(A).v1	sul1	0	1
ERR3584893	Klebsiella pneumoniae	ST15	-	CTX-M-15	NDM-4;OXA-48	aac(6')-Ib-cr.v2*;aadA*;aadA16*;strA.v1^;strB.v1	-	tet(D)*	sul1;sul2	1	2
ERR3585111	Klebsiella pneumoniae	ST520	TEM-1D.v1^	-	-	aac(3)-IId^;aac(6')-Ib-cr.v2	qnrB6^	tet(D)	sul1;sul2	0	0
ERR3585118	Klebsiella pneumoniae	ST656	-	-	KPC-2	aac(6')-Ib-cr.v2;aadA16*	qnrB6^	tet(D)	sul1;sul1	1	2
ERR3585225	Klebsiella pneumoniae	ST656	-	-	KPC-2	aac(6')-Ib-cr.v2;aadA16*	qnrB6^	tet(D)	sul1;sul1	1	2
ERR3585271	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1224	LAP-2	CTX-M-14	-	-	qnrS1	-	-	0	1
ERR3585282	Klebsiella pneumoniae	ST656	-	-	KPC-2	aac(6')-Ib-cr.v2;aadA16*	qnrB6^	tet(D)	sul1;sul1	1	2
ERR3585293	Klebsiella pneumoniae	ST656	-	-	KPC-2	aac(6')-Ib-cr.v2;aadA16*	qnrB6^	tet(D)	sul1;sul1	1	2
ERR3585305	Klebsiella pneumoniae	ST1309	TEM-1D.v1^	CTX-M-3	-	aac(3)-IId^;aac(6')-Ib-cr.v2;aadA16*;aph3-Ia.v1;strA.v1^;strB.v1	qnrS1	tet(A).v2	sul1;sul2*	0	1
ERR3585361	Klebsiella pneumoniae	ST16	TEM-1D.v1^	-	NDM-4;OXA-181	rmtB	qnrS1	-	-	0	2
ERR3585366	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	-	CTX-M-27	-	aac(6')-Ib-cr.v2;aadA16*;strA.v1^;strB.v1	qnrB6^;qnrS1	tet(A).v2	sul1;sul1;sul2	0	1
ERR3585392	Klebsiella pneumoniae	ST656	-	-	KPC-2	aac(6')-Ib-cr.v2;aadA16*	qnrB6^	tet(D)	sul1;sul1	1	2
ERR3585408	Klebsiella pneumoniae	ST656	-	-	KPC-2	aac(6')-Ib-cr.v2;aadA16*	qnrB6^	tet(D)	sul1;sul1	1	2
ERR3595917	Klebsiella pneumoniae	ST656	-	CTX-M-15	NDM-1	aac(3)-IId^;aac(6')-Ib-cr.v2;aadA*;aadA16*;strA.v1*;strB.v1*	qnrS1	-	sul1;sul2	1	2
ERR3595961	Klebsiella pneumoniae	ST20	LAP-2	CTX-M-14^	-	strA.v1*;strB.v1*	qnrS1	tet(D)	sul2	0	1
ERR3595977	Klebsiella pneumoniae	ST147	-	CTX-M-55	KPC-2	aac(3)-IId^;aac(6')-Ib-cr.v2;aadA16*;aadA22;aph(3')-Ia*;strB.v1	qnrB6^	-	sul1;sul1;sul3	0	2
ERR3606476	Klebsiella pneumoniae	ST659	TEM-1D.v1^	-	-	aadA^	qnrS1	tet(D)	sul1	0	0
ERR3642065	Klebsiella pneumoniae	ST656	-	-	KPC-2	aac(6')-Ib-cr.v2;aadA16*	qnrB6^	tet(D)	sul1;sul1	1	2
ERR3642088	Klebsiella quasipneumoniae subsp. similipneumoniae	ST2909-2LV	ACT-16^;TEM-1D.v1^	CTX-M-15	NDM-1	aac(6')-Ib-cr.v2;aadA16*;strA.v1^;strB.v1	qnrB6^;qnrS1	tet(A).v1	sul1;sul1;sul2	0	2
ERR3642232	Klebsiella pneumoniae	ST7	LAP-2	CTX-M-14	-	-	qnrS1	tet(A).v1	sul1	0	1
ERR3642394	Klebsiella pneumoniae	ST11	LAP-2;OXA-1	CTX-M-15	KPC-2	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^	qnrS1	tet(A).v1	sul1;sul2	1	2
ERR3655785	Klebsiella variicola subsp. variicola	ST1407	-	-	-	-	-	-	-	0	0
ERR3655794	Klebsiella quasipneumoniae subsp. similipneumoniae	ST334	OXA-1;OXA-10;TEM-1D.v1^	CTX-M-15	-	aac(6')-Ib-cr.v2;aadA*;armA;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul1;sul2	0	1
ERR3655805	Klebsiella pneumoniae	ST336	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aph3-Ia.v1^;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	1	1
ERR3655809	Klebsiella pneumoniae	ST336	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aph3-Ia.v1^;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	1	1
ERR3655819	Klebsiella quasipneumoniae subsp. similipneumoniae	ST139-3LV	-	-	-	-	-	-	-	0	0
ERR3655821	Klebsiella quasipneumoniae subsp. similipneumoniae	ST139-3LV	-	-	-	-	-	-	-	0	0
ERR3655823	Klebsiella quasipneumoniae subsp. similipneumoniae	ST139-3LV	-	-	-	-	-	-	-	0	0
ERR3655832	Klebsiella pneumoniae	ST336	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aph3-Ia.v1^;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	1	1
ERR3655837	Klebsiella pneumoniae	ST2121	-	-	-	aadA^	-	tet(D)	sul1	0	0
ERR3655840	Klebsiella pneumoniae	ST2121	-	-	-	aadA^	-	tet(D)	sul1	0	0
ERR3655858	Klebsiella pneumoniae	ST337	-	CTX-M-15	-	aac(3)-IId^;aac(6')-Ib-cr.v2;aadA16*;aph3-Ia.v1;strB.v1	qnrB6^	tet(A).v1	sul1;sul1;sul2*	0	1
ERR3655897	Klebsiella pneumoniae	ST656	-	-	KPC-2	aac(6')-Ib-cr.v2;aadA16*	qnrB6^	tet(D)	sul1;sul1	1	2
ERR3655946	Klebsiella pneumoniae	ST656	-	-	KPC-2	aac(6')-Ib-cr.v2;aadA16*	qnrB6^	tet(D)	sul1;sul1	1	2
ERR3655969	Klebsiella pneumoniae	ST15	TEM-1D.v1^	-	KPC-2;NDM-1	aac(3)-IId^;aac(6')-Ib-cr.v2;aadA16*;strA.v1^;strB.v1	qnrS1	tet(D)*	sul1;sul2	1	2
ERR3671000	Klebsiella variicola subsp. variicola	ST368-1LV	-	-	-	-	-	-	-	0	0
ERR3671005	Klebsiella variicola subsp. variicola	ST368-1LV	-	-	-	-	-	-	-	0	0
ERR3671041	Klebsiella quasipneumoniae subsp. quasipneumoniae	ST2981-3LV	-	-	-	-	-	-	-	0	0
ERR3671045	Klebsiella quasipneumoniae subsp. quasipneumoniae	ST2981-3LV	-	-	-	-	-	-	-	0	0
ERR3712401	Klebsiella pneumoniae	ST15	OXA-1;TEM-1D.v1^	CTX-M-15	OXA-48	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	sul2	0	2
ERR3712410	Klebsiella pneumoniae	ST551	-	-	OXA-48	-	-	-	-	0	2
ERR3712438	Klebsiella pneumoniae	ST392	OXA-1	CTX-M-15	KPC-3	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	2
ERR3712472	Klebsiella pneumoniae	ST35	-	-	OXA-48	-	-	-	-	0	2
ERR3712510	Klebsiella pneumoniae	ST873	CMY-6;OXA-1;TEM-1D.v1^	CTX-M-15	NDM-1	aac(6')-Ib-cr.v2;aph(3')-VI;aph3-Ia.v1^;rmtC;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul1;sul2	0	2
ERR3712526	Klebsiella pneumoniae	ST2501	-	-	OXA-48	-	-	-	-	1	2
ERR3712650	Klebsiella pneumoniae	ST327	OXA-1;TEM-1D.v1^	CTX-M-15	OXA-48	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	1	2
ERR3712664	Klebsiella pneumoniae	ST512	-	-	KPC-3	aac(6')-Ib'.v1;aadA2	-	-	sul1	0	2
ERR3712670	Klebsiella pneumoniae	ST2497	OXA-1	CTX-M-15	OXA-232	aac(6')-Ib-cr.v2	-	-	-	1	2
ERR3712728	Klebsiella variicola subsp. variicola	ST2634	-	SHV-12	VIM-1	aac(6')-Ib4^;aadA1.v1^;aphA15;strA.v1*;strB.v1*	qnrS1	-	sul1;sul2	0	2
ERR3712820	Klebsiella pneumoniae	ST485	-	-	OXA-48	-	-	tet(D)	-	1	2
ERR3712857	Klebsiella pneumoniae	ST29	OXA-1;TEM-1D.v1^	CTX-M-15	OXA-48	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	1	2
ERR3712897	Klebsiella pneumoniae	ST873	-	-	OXA-48	-	-	-	-	0	2
ERR3713015	Klebsiella pneumoniae	ST307	OXA-1;TEM-1D.v1^	CTX-M-15	OXA-48	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	1	2
ERR3713045	Klebsiella pneumoniae	ST294	-	-	OXA-48	-	-	-	-	1	2
ERR3713072	Klebsiella pneumoniae	ST628	-	-	OXA-48	-	-	-	-	0	2
ERR3713102	Klebsiella pneumoniae	ST2086	OXA-1;TEM-1D.v1^	CTX-M-15	OXA-48	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	2	2
ERR3713111	Klebsiella pneumoniae	ST1207	DHA-1;OXA-1	CTX-M-15	OXA-48	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^;qnrB4	tet(A).v1	sul1;sul2	1	2
ERR3713139	Klebsiella pneumoniae	ST13	OXA-9.v1;TEM-1D.v1^	-	KPC-3	aac(6')-Ib'.v1*;aadA*;strA.v1^;strB.v1	-	-	sul2	2	3
ERR3713194	Klebsiella pneumoniae	ST377	OXA-1	CTX-M-15	NDM-1;OXA-48	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;rmtC	-	-	sul1*	1	3
ERR3713219	Klebsiella pneumoniae	ST2096	OXA-1;TEM-1D.v1^	CTX-M-15	OXA-232	aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	tet(D)	sul1	4	2
ERR3771719	Klebsiella pneumoniae	ST29	CMY-6	-	NDM-1;OXA-48	aac(6')-Ib3^;rmtC	-	-	sul1	0	2
ERR3771776	Klebsiella pneumoniae	ST307	TEM-1D.v1^	CTX-M-15	NDM-1;OXA-48	aac(3)-IIa.v1^;aph(3')-VI;aph3-Ia.v1^;armA;strA.v1^;strB.v1	qnrS1	-	sul1;sul2	4	2
ERR3771780	Klebsiella pneumoniae	ST3459	OXA-9.v1;TEM-1D.v1^	-	NDM-1;OXA-48	aac(6')-Ib'.v1;aadA*;aph(3')-VI*;strA.v1;strB.v1	qnrS1	tet(D)	sul1	1	2
ERR3813681	Klebsiella pneumoniae	ST101	-	-	KPC-3	armA	-	-	-	1	3
ERR3813691	Klebsiella pneumoniae	ST307-1LV	-	CTX-M-15	KPC-3	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	sul2	1	2
ERR3835369	Klebsiella pneumoniae	ST530	TEM-1D.v1^	-	OXA-48	-	-	-	-	1	2
ERR3835373	Klebsiella pneumoniae	ST188	-	-	OXA-48	-	qnrS1	-	-	0	2
ERR3835374	Klebsiella pneumoniae	ST273	OXA-1	-	OXA-48	aac(6')-Ib-cr.v2	-	tet(A).v1	-	0	2
ERR3835380	Klebsiella pneumoniae	ST392	OXA-1;TEM-1D.v1^	CTX-M-15	OXA-48	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	2
ERR3835389	Klebsiella pneumoniae	ST116	-	-	OXA-48	-	qnrS1	-	-	1	2
ERR3835406	Klebsiella pneumoniae	ST37	-	-	OXA-48	-	-	-	-	0	2
ERR3835434	Klebsiella pneumoniae	ST394	TEM-1D.v1^	CTX-M-15	OXA-48	strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	1	2
ERR3835451	Klebsiella pneumoniae	ST147	TEM-1D.v1^	CTX-M-15	NDM-1	strA.v1;strB.v1	qnrB1.v1	tet(A).v1	sul1	1	2
ERR3844626	Klebsiella variicola subsp. variicola	ST2468-1LV	-	-	-	-	-	-	-	0	0
ERR3844634	Klebsiella pneumoniae	ST230	-	-	-	-	-	-	-	0	0
ERR3844682	Klebsiella pneumoniae	ST34	-	-	-	-	-	-	-	0	0
ERR3844688	Klebsiella pneumoniae	ST1440-1LV	-	-	-	-	-	-	-	0	0
ERR3844713	Klebsiella variicola subsp. variicola	ST2183	-	-	-	-	-	-	-	0	0
ERR3844723	Klebsiella pneumoniae	ST1190	-	-	-	-	-	-	-	0	0
ERR3844726	Klebsiella variicola subsp. variicola	ST973-1LV	-	-	-	-	-	-	-	0	0
ERR3844728	Klebsiella variicola subsp. variicola	ST3398	-	-	-	-	-	-	-	0	0
ERR3844739	Klebsiella quasipneumoniae subsp. similipneumoniae	ST734	-	-	-	-	-	-	-	0	0
ERR3844759	Klebsiella pneumoniae	ST611	-	-	-	-	-	-	-	0	0
